[019500/100000]	Cells: 215  Coverage: 0.08201599%		Max Fitness: 0.07619591	Mean Fitness: 0.06620106	Min Fitness: 0.05728553	QD Score: 14.23322746
[020000/100000]	Cells: 218  Coverage: 0.08316040%		Max Fitness: 0.07619591	Mean Fitness: 0.06613579	Min Fitness: 0.05728553	QD Score: 14.41760126
[020500/100000]	Cells: 223  Coverage: 0.08506775%		Max Fitness: 0.07619591	Mean Fitness: 0.06611202	Min Fitness: 0.05728553	QD Score: 14.74297949
[021000/100000]	Cells: 226  Coverage: 0.08621216%		Max Fitness: 0.07619591	Mean Fitness: 0.06618519	Min Fitness: 0.05728553	QD Score: 14.95785210
[021500/100000]	Cells: 227  Coverage: 0.08659363%		Max Fitness: 0.07619591	Mean Fitness: 0.06619797	Min Fitness: 0.05728553	QD Score: 15.02693827
[022000/100000]	Cells: 228  Coverage: 0.08697510%		Max Fitness: 0.07619591	Mean Fitness: 0.06619283	Min Fitness: 0.05728553	QD Score: 15.09196624
[022500/100000]	Cells: 232  Coverage: 0.08850098%		Max Fitness: 0.07619591	Mean Fitness: 0.06614556	Min Fitness: 0.05728553	QD Score: 15.34576941
[023000/100000]	Cells: 236  Coverage: 0.09002686%		Max Fitness: 0.07619591	Mean Fitness: 0.06611211	Min Fitness: 0.05728553	QD Score: 15.60245827
[023500/100000]	Cells: 238  Coverage: 0.09078979%		Max Fitness: 0.07619591	Mean Fitness: 0.06608857	Min Fitness: 0.05728553	QD Score: 15.72907993
[024000/100000]	Cells: 240  Coverage: 0.09155273%		Max Fitness: 0.07619591	Mean Fitness: 0.06609898	Min Fitness: 0.05728553	QD Score: 15.86375429
[024500/100000]	Cells: 243  Coverage: 0.09269714%		Max Fitness: 0.07619591	Mean Fitness: 0.06610011	Min Fitness: 0.05728553	QD Score: 16.06232764
[025000/100000]	Cells: 245  Coverage: 0.09346008%		Max Fitness: 0.07619591	Mean Fitness: 0.06606572	Min Fitness: 0.05728553	QD Score: 16.18610102
