[000500/100000]	Cells: 6  Coverage: 0.00228882%		Max Fitness: 0.06727000	Mean Fitness: 0.06652458	Min Fitness: 0.06572260	QD Score: 0.39914747
[001000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.07561972	Mean Fitness: 0.06725044	Min Fitness: 0.06443786	QD Score: 1.07600705
[001500/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.07561972	Mean Fitness: 0.06781528	Min Fitness: 0.06443786	QD Score: 1.55975152
[002000/100000]	Cells: 36  Coverage: 0.01373291%		Max Fitness: 0.07561972	Mean Fitness: 0.06706651	Min Fitness: 0.06113804	QD Score: 2.41439426
[002500/100000]	Cells: 41  Coverage: 0.01564026%		Max Fitness: 0.07561972	Mean Fitness: 0.06728812	Min Fitness: 0.06288696	QD Score: 2.75881289
[003000/100000]	Cells: 49  Coverage: 0.01869202%		Max Fitness: 0.07561972	Mean Fitness: 0.06712547	Min Fitness: 0.06254564	QD Score: 3.28914803
[003500/100000]	Cells: 54  Coverage: 0.02059937%		Max Fitness: 0.07561972	Mean Fitness: 0.06706810	Min Fitness: 0.06254564	QD Score: 3.62167719
[004000/100000]	Cells: 62  Coverage: 0.02365112%		Max Fitness: 0.07561972	Mean Fitness: 0.06708121	Min Fitness: 0.06288696	QD Score: 4.15903528
[004500/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.07561972	Mean Fitness: 0.06694347	Min Fitness: 0.06030753	QD Score: 4.68604288
[005000/100000]	Cells: 74  Coverage: 0.02822876%		Max Fitness: 0.07561972	Mean Fitness: 0.06672283	Min Fitness: 0.06030753	QD Score: 4.93748919
[005500/100000]	Cells: 81  Coverage: 0.03089905%		Max Fitness: 0.07561972	Mean Fitness: 0.06685314	Min Fitness: 0.06030753	QD Score: 5.41510469
[006000/100000]	Cells: 90  Coverage: 0.03433228%		Max Fitness: 0.07561972	Mean Fitness: 0.06673473	Min Fitness: 0.06030753	QD Score: 6.00612552
[006500/100000]	Cells: 96  Coverage: 0.03662109%		Max Fitness: 0.07561972	Mean Fitness: 0.06668526	Min Fitness: 0.06030753	QD Score: 6.40178490
[007000/100000]	Cells: 101  Coverage: 0.03852844%		Max Fitness: 0.07561972	Mean Fitness: 0.06656141	Min Fitness: 0.05909921	QD Score: 6.72270203
[007500/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.07561972	Mean Fitness: 0.06626115	Min Fitness: 0.05909921	QD Score: 7.28872630
[008000/100000]	Cells: 114  Coverage: 0.04348755%		Max Fitness: 0.07561972	Mean Fitness: 0.06614519	Min Fitness: 0.05909921	QD Score: 7.54055197
[008500/100000]	Cells: 122  Coverage: 0.04653931%		Max Fitness: 0.07561972	Mean Fitness: 0.06620857	Min Fitness: 0.05909921	QD Score: 8.07744511
[009000/100000]	Cells: 128  Coverage: 0.04882813%		Max Fitness: 0.07561972	Mean Fitness: 0.06618695	Min Fitness: 0.05909921	QD Score: 8.47192905
[009500/100000]	Cells: 135  Coverage: 0.05149841%		Max Fitness: 0.07561972	Mean Fitness: 0.06606576	Min Fitness: 0.05909921	QD Score: 8.91887698
[010000/100000]	Cells: 146  Coverage: 0.05569458%		Max Fitness: 0.07561972	Mean Fitness: 0.06599392	Min Fitness: 0.05909921	QD Score: 9.63511220
[010500/100000]	Cells: 150  Coverage: 0.05722046%		Max Fitness: 0.07561972	Mean Fitness: 0.06607756	Min Fitness: 0.05909921	QD Score: 9.91163414
[011000/100000]	Cells: 154  Coverage: 0.05874634%		Max Fitness: 0.07561972	Mean Fitness: 0.06606629	Min Fitness: 0.05848012	QD Score: 10.17420805
[011500/100000]	Cells: 155  Coverage: 0.05912781%		Max Fitness: 0.07561972	Mean Fitness: 0.06604244	Min Fitness: 0.05848012	QD Score: 10.23657848
[012000/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07561972	Mean Fitness: 0.06602614	Min Fitness: 0.05848012	QD Score: 10.43212940
[012500/100000]	Cells: 164  Coverage: 0.06256104%		Max Fitness: 0.07561972	Mean Fitness: 0.06616562	Min Fitness: 0.05848012	QD Score: 10.85116166
[013000/100000]	Cells: 165  Coverage: 0.06294250%		Max Fitness: 0.07561972	Mean Fitness: 0.06625470	Min Fitness: 0.05848012	QD Score: 10.93202588
[013500/100000]	Cells: 168  Coverage: 0.06408691%		Max Fitness: 0.07561972	Mean Fitness: 0.06625076	Min Fitness: 0.05848012	QD Score: 11.13012846
[014000/100000]	Cells: 172  Coverage: 0.06561279%		Max Fitness: 0.07561972	Mean Fitness: 0.06631326	Min Fitness: 0.05848012	QD Score: 11.40588044
[014500/100000]	Cells: 176  Coverage: 0.06713867%		Max Fitness: 0.07561972	Mean Fitness: 0.06628946	Min Fitness: 0.05848012	QD Score: 11.66694555
[015000/100000]	Cells: 185  Coverage: 0.07057190%		Max Fitness: 0.07561972	Mean Fitness: 0.06611213	Min Fitness: 0.05646448	QD Score: 12.23074319
[015500/100000]	Cells: 187  Coverage: 0.07133484%		Max Fitness: 0.07561972	Mean Fitness: 0.06612308	Min Fitness: 0.05646448	QD Score: 12.36501593
[016000/100000]	Cells: 191  Coverage: 0.07286072%		Max Fitness: 0.07561972	Mean Fitness: 0.06604388	Min Fitness: 0.05646448	QD Score: 12.61438124
[016500/100000]	Cells: 196  Coverage: 0.07476807%		Max Fitness: 0.07561972	Mean Fitness: 0.06605463	Min Fitness: 0.05646448	QD Score: 12.94670674
[017000/100000]	Cells: 200  Coverage: 0.07629395%		Max Fitness: 0.07561972	Mean Fitness: 0.06601918	Min Fitness: 0.05646448	QD Score: 13.20383604
[017500/100000]	Cells: 206  Coverage: 0.07858276%		Max Fitness: 0.07561972	Mean Fitness: 0.06605820	Min Fitness: 0.05646448	QD Score: 13.60798918
[018000/100000]	Cells: 208  Coverage: 0.07934570%		Max Fitness: 0.07688190	Mean Fitness: 0.06613985	Min Fitness: 0.05646448	QD Score: 13.75708879
[018500/100000]	Cells: 209  Coverage: 0.07972717%		Max Fitness: 0.07688190	Mean Fitness: 0.06617904	Min Fitness: 0.05646448	QD Score: 13.83141942
[019000/100000]	Cells: 216  Coverage: 0.08239746%		Max Fitness: 0.07688190	Mean Fitness: 0.06614155	Min Fitness: 0.05646448	QD Score: 14.28657432
[019500/100000]	Cells: 218  Coverage: 0.08316040%		Max Fitness: 0.07688190	Mean Fitness: 0.06619564	Min Fitness: 0.05646448	QD Score: 14.43064858
[020000/100000]	Cells: 221  Coverage: 0.08430481%		Max Fitness: 0.07688190	Mean Fitness: 0.06620891	Min Fitness: 0.05646448	QD Score: 14.63216803
[020500/100000]	Cells: 226  Coverage: 0.08621216%		Max Fitness: 0.07688190	Mean Fitness: 0.06619725	Min Fitness: 0.05646448	QD Score: 14.96057870
[021000/100000]	Cells: 233  Coverage: 0.08888245%		Max Fitness: 0.07688190	Mean Fitness: 0.06614008	Min Fitness: 0.05646448	QD Score: 15.41063954
[021500/100000]	Cells: 235  Coverage: 0.08964539%		Max Fitness: 0.07688190	Mean Fitness: 0.06611850	Min Fitness: 0.05646448	QD Score: 15.53784812
[022000/100000]	Cells: 237  Coverage: 0.09040833%		Max Fitness: 0.07688190	Mean Fitness: 0.06609844	Min Fitness: 0.05646448	QD Score: 15.66533092
[022500/100000]	Cells: 238  Coverage: 0.09078979%		Max Fitness: 0.07688190	Mean Fitness: 0.06610849	Min Fitness: 0.05646448	QD Score: 15.73382169
[023000/100000]	Cells: 240  Coverage: 0.09155273%		Max Fitness: 0.07688190	Mean Fitness: 0.06613390	Min Fitness: 0.05646448	QD Score: 15.87213624
[023500/100000]	Cells: 244  Coverage: 0.09307861%		Max Fitness: 0.07688190	Mean Fitness: 0.06612478	Min Fitness: 0.05646448	QD Score: 16.13444667
[024000/100000]	Cells: 248  Coverage: 0.09460449%		Max Fitness: 0.07688190	Mean Fitness: 0.06613748	Min Fitness: 0.05646448	QD Score: 16.40209536
[024500/100000]	Cells: 252  Coverage: 0.09613037%		Max Fitness: 0.07688190	Mean Fitness: 0.06621626	Min Fitness: 0.05646448	QD Score: 16.68649672
[025000/100000]	Cells: 254  Coverage: 0.09689331%		Max Fitness: 0.07688190	Mean Fitness: 0.06616811	Min Fitness: 0.05646448	QD Score: 16.80669957
[025500/100000]	Cells: 256  Coverage: 0.09765625%		Max Fitness: 0.07688190	Mean Fitness: 0.06623508	Min Fitness: 0.05646448	QD Score: 16.95618169
[026000/100000]	Cells: 260  Coverage: 0.09918213%		Max Fitness: 0.07688190	Mean Fitness: 0.06615470	Min Fitness: 0.05646448	QD Score: 17.20022251
[026500/100000]	Cells: 264  Coverage: 0.10070801%		Max Fitness: 0.07688190	Mean Fitness: 0.06614163	Min Fitness: 0.05646448	QD Score: 17.46138959
[027000/100000]	Cells: 266  Coverage: 0.10147095%		Max Fitness: 0.07688190	Mean Fitness: 0.06609737	Min Fitness: 0.05646448	QD Score: 17.58190161
[027500/100000]	Cells: 271  Coverage: 0.10337830%		Max Fitness: 0.07688190	Mean Fitness: 0.06607707	Min Fitness: 0.05646448	QD Score: 17.90688508
[028000/100000]	Cells: 272  Coverage: 0.10375977%		Max Fitness: 0.07688190	Mean Fitness: 0.06612549	Min Fitness: 0.05646448	QD Score: 17.98613246
[028500/100000]	Cells: 275  Coverage: 0.10490417%		Max Fitness: 0.07688190	Mean Fitness: 0.06610347	Min Fitness: 0.05646448	QD Score: 18.17845330
[029000/100000]	Cells: 277  Coverage: 0.10566711%		Max Fitness: 0.07688190	Mean Fitness: 0.06609063	Min Fitness: 0.05646448	QD Score: 18.30710441
[029500/100000]	Cells: 281  Coverage: 0.10719299%		Max Fitness: 0.07688190	Mean Fitness: 0.06604510	Min Fitness: 0.05646448	QD Score: 18.55867248
[030000/100000]	Cells: 285  Coverage: 0.10871887%		Max Fitness: 0.07688190	Mean Fitness: 0.06600460	Min Fitness: 0.05604179	QD Score: 18.81131172
[030500/100000]	Cells: 289  Coverage: 0.11024475%		Max Fitness: 0.07688190	Mean Fitness: 0.06592910	Min Fitness: 0.05604179	QD Score: 19.05351123
[031000/100000]	Cells: 292  Coverage: 0.11138916%		Max Fitness: 0.07848222	Mean Fitness: 0.06589560	Min Fitness: 0.05604179	QD Score: 19.24151473
[031500/100000]	Cells: 294  Coverage: 0.11215210%		Max Fitness: 0.07848222	Mean Fitness: 0.06589545	Min Fitness: 0.05604179	QD Score: 19.37326092
[032000/100000]	Cells: 295  Coverage: 0.11253357%		Max Fitness: 0.07848222	Mean Fitness: 0.06591475	Min Fitness: 0.05604179	QD Score: 19.44484992
[032500/100000]	Cells: 297  Coverage: 0.11329651%		Max Fitness: 0.07848222	Mean Fitness: 0.06592661	Min Fitness: 0.05604179	QD Score: 19.58020177
[033000/100000]	Cells: 302  Coverage: 0.11520386%		Max Fitness: 0.07848222	Mean Fitness: 0.06590444	Min Fitness: 0.05604179	QD Score: 19.90314054
[033500/100000]	Cells: 303  Coverage: 0.11558533%		Max Fitness: 0.07848222	Mean Fitness: 0.06588530	Min Fitness: 0.05604179	QD Score: 19.96324651
[034000/100000]	Cells: 303  Coverage: 0.11558533%		Max Fitness: 0.07848222	Mean Fitness: 0.06589247	Min Fitness: 0.05604179	QD Score: 19.96541709
[034500/100000]	Cells: 305  Coverage: 0.11634827%		Max Fitness: 0.07848222	Mean Fitness: 0.06590395	Min Fitness: 0.05604179	QD Score: 20.10070572
[035000/100000]	Cells: 307  Coverage: 0.11711121%		Max Fitness: 0.07848222	Mean Fitness: 0.06591875	Min Fitness: 0.05604179	QD Score: 20.23705680
