[019500/100000]	Cells: 218  Coverage: 0.08316040%		Max Fitness: 0.07660511	Mean Fitness: 0.06493990	Min Fitness: 0.05395729	QD Score: 14.15689734
[020000/100000]	Cells: 222  Coverage: 0.08468628%		Max Fitness: 0.07660511	Mean Fitness: 0.06491746	Min Fitness: 0.05395729	QD Score: 14.41167574
[020500/100000]	Cells: 229  Coverage: 0.08735657%		Max Fitness: 0.07660511	Mean Fitness: 0.06487094	Min Fitness: 0.05395729	QD Score: 14.85544576
[021000/100000]	Cells: 233  Coverage: 0.08888245%		Max Fitness: 0.07660511	Mean Fitness: 0.06482677	Min Fitness: 0.05395729	QD Score: 15.10463629
[021500/100000]	Cells: 237  Coverage: 0.09040833%		Max Fitness: 0.07660511	Mean Fitness: 0.06488691	Min Fitness: 0.05395729	QD Score: 15.37819708
[022000/100000]	Cells: 241  Coverage: 0.09193420%		Max Fitness: 0.07660511	Mean Fitness: 0.06483350	Min Fitness: 0.05344422	QD Score: 15.62487308
[022500/100000]	Cells: 243  Coverage: 0.09269714%		Max Fitness: 0.07660511	Mean Fitness: 0.06482019	Min Fitness: 0.05344422	QD Score: 15.75130608
[023000/100000]	Cells: 244  Coverage: 0.09307861%		Max Fitness: 0.07660511	Mean Fitness: 0.06482311	Min Fitness: 0.05344422	QD Score: 15.81684003
[023500/100000]	Cells: 249  Coverage: 0.09498596%		Max Fitness: 0.07660511	Mean Fitness: 0.06480752	Min Fitness: 0.05344422	QD Score: 16.13707204
[024000/100000]	Cells: 251  Coverage: 0.09574890%		Max Fitness: 0.07660511	Mean Fitness: 0.06481943	Min Fitness: 0.05344422	QD Score: 16.26967766
[024500/100000]	Cells: 253  Coverage: 0.09651184%		Max Fitness: 0.07660511	Mean Fitness: 0.06477778	Min Fitness: 0.05344422	QD Score: 16.38877879
[025000/100000]	Cells: 260  Coverage: 0.09918213%		Max Fitness: 0.07660511	Mean Fitness: 0.06469546	Min Fitness: 0.05344422	QD Score: 16.82081854
[025500/100000]	Cells: 263  Coverage: 0.10032654%		Max Fitness: 0.07660511	Mean Fitness: 0.06464768	Min Fitness: 0.05344422	QD Score: 17.00233920
[026000/100000]	Cells: 264  Coverage: 0.10070801%		Max Fitness: 0.07660511	Mean Fitness: 0.06462283	Min Fitness: 0.05223801	QD Score: 17.06042818
[026500/100000]	Cells: 268  Coverage: 0.10223389%		Max Fitness: 0.07660511	Mean Fitness: 0.06463746	Min Fitness: 0.05223801	QD Score: 17.32283950
[027000/100000]	Cells: 275  Coverage: 0.10490417%		Max Fitness: 0.07660511	Mean Fitness: 0.06464427	Min Fitness: 0.05223801	QD Score: 17.77717477
[027500/100000]	Cells: 276  Coverage: 0.10528564%		Max Fitness: 0.07660511	Mean Fitness: 0.06466430	Min Fitness: 0.05223801	QD Score: 17.84734760
[028000/100000]	Cells: 278  Coverage: 0.10604858%		Max Fitness: 0.07660511	Mean Fitness: 0.06463528	Min Fitness: 0.05223801	QD Score: 17.96860704
[028500/100000]	Cells: 281  Coverage: 0.10719299%		Max Fitness: 0.07660511	Mean Fitness: 0.06465682	Min Fitness: 0.05223801	QD Score: 18.16856553
[029000/100000]	Cells: 286  Coverage: 0.10910034%		Max Fitness: 0.07660511	Mean Fitness: 0.06459132	Min Fitness: 0.05223801	QD Score: 18.47311856
[029500/100000]	Cells: 290  Coverage: 0.11062622%		Max Fitness: 0.07660511	Mean Fitness: 0.06464449	Min Fitness: 0.05223801	QD Score: 18.74690269
[030000/100000]	Cells: 290  Coverage: 0.11062622%		Max Fitness: 0.07660511	Mean Fitness: 0.06464449	Min Fitness: 0.05223801	QD Score: 18.74690269
[030500/100000]	Cells: 291  Coverage: 0.11100769%		Max Fitness: 0.07660511	Mean Fitness: 0.06467279	Min Fitness: 0.05223801	QD Score: 18.81978085
[031000/100000]	Cells: 296  Coverage: 0.11291504%		Max Fitness: 0.07660511	Mean Fitness: 0.06469012	Min Fitness: 0.05223801	QD Score: 19.14827494
[031500/100000]	Cells: 298  Coverage: 0.11367798%		Max Fitness: 0.07660511	Mean Fitness: 0.06469947	Min Fitness: 0.05223801	QD Score: 19.28044199
[032000/100000]	Cells: 302  Coverage: 0.11520386%		Max Fitness: 0.07660511	Mean Fitness: 0.06468896	Min Fitness: 0.05223801	QD Score: 19.53606612
[032500/100000]	Cells: 303  Coverage: 0.11558533%		Max Fitness: 0.07660511	Mean Fitness: 0.06467094	Min Fitness: 0.05223801	QD Score: 19.59529487
[033000/100000]	Cells: 305  Coverage: 0.11634827%		Max Fitness: 0.07660511	Mean Fitness: 0.06466574	Min Fitness: 0.05223801	QD Score: 19.72305007
[033500/100000]	Cells: 307  Coverage: 0.11711121%		Max Fitness: 0.07660511	Mean Fitness: 0.06463794	Min Fitness: 0.05223801	QD Score: 19.84384879
[034000/100000]	Cells: 311  Coverage: 0.11863708%		Max Fitness: 0.07660511	Mean Fitness: 0.06458466	Min Fitness: 0.05223801	QD Score: 20.08582936
[034500/100000]	Cells: 313  Coverage: 0.11940002%		Max Fitness: 0.07660511	Mean Fitness: 0.06457885	Min Fitness: 0.05223801	QD Score: 20.21318127
[035000/100000]	Cells: 315  Coverage: 0.12016296%		Max Fitness: 0.07660511	Mean Fitness: 0.06459144	Min Fitness: 0.05223801	QD Score: 20.34630247
[035500/100000]	Cells: 316  Coverage: 0.12054443%		Max Fitness: 0.07660511	Mean Fitness: 0.06460835	Min Fitness: 0.05223801	QD Score: 20.41623711
[036000/100000]	Cells: 318  Coverage: 0.12130737%		Max Fitness: 0.07660511	Mean Fitness: 0.06458657	Min Fitness: 0.05223801	QD Score: 20.53852892
[036500/100000]	Cells: 321  Coverage: 0.12245178%		Max Fitness: 0.07660511	Mean Fitness: 0.06455932	Min Fitness: 0.05223801	QD Score: 20.72354216
[037000/100000]	Cells: 323  Coverage: 0.12321472%		Max Fitness: 0.07660511	Mean Fitness: 0.06455403	Min Fitness: 0.05223801	QD Score: 20.85095313
[037500/100000]	Cells: 324  Coverage: 0.12359619%		Max Fitness: 0.07660511	Mean Fitness: 0.06455318	Min Fitness: 0.05223801	QD Score: 20.91523067
[038000/100000]	Cells: 327  Coverage: 0.12474060%		Max Fitness: 0.07660511	Mean Fitness: 0.06454730	Min Fitness: 0.05223801	QD Score: 21.10696868
[038500/100000]	Cells: 331  Coverage: 0.12626648%		Max Fitness: 0.07660511	Mean Fitness: 0.06450267	Min Fitness: 0.05223801	QD Score: 21.35038356
[039000/100000]	Cells: 337  Coverage: 0.12855530%		Max Fitness: 0.07660511	Mean Fitness: 0.06439647	Min Fitness: 0.05223801	QD Score: 21.70161036
[039500/100000]	Cells: 342  Coverage: 0.13046265%		Max Fitness: 0.07660511	Mean Fitness: 0.06444100	Min Fitness: 0.05223801	QD Score: 22.03882332
[040000/100000]	Cells: 347  Coverage: 0.13237000%		Max Fitness: 0.07660511	Mean Fitness: 0.06440674	Min Fitness: 0.05223801	QD Score: 22.34913826
