[000500/100000]	Cells: 10  Coverage: 0.00381470%		Max Fitness: 0.06704450	Mean Fitness: 0.06623290	Min Fitness: 0.06565410	QD Score: 0.66232903
[001000/100000]	Cells: 15  Coverage: 0.00572205%		Max Fitness: 0.07243059	Mean Fitness: 0.06616813	Min Fitness: 0.06247842	QD Score: 0.99252200
[001500/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.07449309	Mean Fitness: 0.06594948	Min Fitness: 0.06101668	QD Score: 2.04443397
[002000/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.07527412	Mean Fitness: 0.06620650	Min Fitness: 0.06043539	QD Score: 2.84687932
[002500/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.07558674	Mean Fitness: 0.06609905	Min Fitness: 0.05794506	QD Score: 3.70154659
[003000/100000]	Cells: 67  Coverage: 0.02555847%		Max Fitness: 0.07558674	Mean Fitness: 0.06578412	Min Fitness: 0.05794506	QD Score: 4.40753583
[003500/100000]	Cells: 81  Coverage: 0.03089905%		Max Fitness: 0.07558674	Mean Fitness: 0.06570103	Min Fitness: 0.05794506	QD Score: 5.32178369
[004000/100000]	Cells: 88  Coverage: 0.03356934%		Max Fitness: 0.07558674	Mean Fitness: 0.06575092	Min Fitness: 0.05794506	QD Score: 5.78608115
[004500/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07558674	Mean Fitness: 0.06561754	Min Fitness: 0.05794506	QD Score: 6.23366627
[005000/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.07558674	Mean Fitness: 0.06550113	Min Fitness: 0.05716786	QD Score: 6.74661685
[005500/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.07558674	Mean Fitness: 0.06559073	Min Fitness: 0.05716786	QD Score: 7.14938926
[006000/100000]	Cells: 116  Coverage: 0.04425049%		Max Fitness: 0.07558674	Mean Fitness: 0.06537046	Min Fitness: 0.05667535	QD Score: 7.58297386
[006500/100000]	Cells: 119  Coverage: 0.04539490%		Max Fitness: 0.07558674	Mean Fitness: 0.06540331	Min Fitness: 0.05667535	QD Score: 7.78299442
[007000/100000]	Cells: 128  Coverage: 0.04882813%		Max Fitness: 0.07558674	Mean Fitness: 0.06528126	Min Fitness: 0.05667535	QD Score: 8.35600086
[007500/100000]	Cells: 132  Coverage: 0.05035400%		Max Fitness: 0.07558674	Mean Fitness: 0.06537784	Min Fitness: 0.05667535	QD Score: 8.62987468
[008000/100000]	Cells: 137  Coverage: 0.05226135%		Max Fitness: 0.07558674	Mean Fitness: 0.06536604	Min Fitness: 0.05667535	QD Score: 8.95514684
[008500/100000]	Cells: 146  Coverage: 0.05569458%		Max Fitness: 0.07558674	Mean Fitness: 0.06531865	Min Fitness: 0.05667535	QD Score: 9.53652359
[009000/100000]	Cells: 152  Coverage: 0.05798340%		Max Fitness: 0.07558674	Mean Fitness: 0.06523406	Min Fitness: 0.05667535	QD Score: 9.91557692
[009500/100000]	Cells: 154  Coverage: 0.05874634%		Max Fitness: 0.07558674	Mean Fitness: 0.06524801	Min Fitness: 0.05667535	QD Score: 10.04819374
[010000/100000]	Cells: 159  Coverage: 0.06065369%		Max Fitness: 0.07558674	Mean Fitness: 0.06530916	Min Fitness: 0.05667535	QD Score: 10.38415619
[010500/100000]	Cells: 169  Coverage: 0.06446838%		Max Fitness: 0.07558674	Mean Fitness: 0.06526926	Min Fitness: 0.05667535	QD Score: 11.03050456
[011000/100000]	Cells: 175  Coverage: 0.06675720%		Max Fitness: 0.07558674	Mean Fitness: 0.06538072	Min Fitness: 0.05667535	QD Score: 11.44162681
[011500/100000]	Cells: 183  Coverage: 0.06980896%		Max Fitness: 0.07558674	Mean Fitness: 0.06534745	Min Fitness: 0.05667535	QD Score: 11.95858251
[012000/100000]	Cells: 188  Coverage: 0.07171631%		Max Fitness: 0.07705704	Mean Fitness: 0.06546793	Min Fitness: 0.05667535	QD Score: 12.30797177
[012500/100000]	Cells: 190  Coverage: 0.07247925%		Max Fitness: 0.07705704	Mean Fitness: 0.06548512	Min Fitness: 0.05667535	QD Score: 12.44217212
[013000/100000]	Cells: 198  Coverage: 0.07553101%		Max Fitness: 0.07705704	Mean Fitness: 0.06536591	Min Fitness: 0.05447505	QD Score: 12.94245093
[013500/100000]	Cells: 208  Coverage: 0.07934570%		Max Fitness: 0.07705704	Mean Fitness: 0.06537772	Min Fitness: 0.05447505	QD Score: 13.59856586
[014000/100000]	Cells: 214  Coverage: 0.08163452%		Max Fitness: 0.07705704	Mean Fitness: 0.06538947	Min Fitness: 0.05667535	QD Score: 13.99334643
[014500/100000]	Cells: 216  Coverage: 0.08239746%		Max Fitness: 0.07705704	Mean Fitness: 0.06542371	Min Fitness: 0.05667535	QD Score: 14.13152127
[015000/100000]	Cells: 220  Coverage: 0.08392334%		Max Fitness: 0.07705704	Mean Fitness: 0.06549264	Min Fitness: 0.05667535	QD Score: 14.40838037
[015500/100000]	Cells: 226  Coverage: 0.08621216%		Max Fitness: 0.07705704	Mean Fitness: 0.06537658	Min Fitness: 0.05667535	QD Score: 14.77510636
[016000/100000]	Cells: 231  Coverage: 0.08811951%		Max Fitness: 0.07705704	Mean Fitness: 0.06535070	Min Fitness: 0.05667535	QD Score: 15.09601275
[016500/100000]	Cells: 239  Coverage: 0.09117126%		Max Fitness: 0.07705704	Mean Fitness: 0.06535222	Min Fitness: 0.05667535	QD Score: 15.61918170
[017000/100000]	Cells: 244  Coverage: 0.09307861%		Max Fitness: 0.07705704	Mean Fitness: 0.06529444	Min Fitness: 0.05231558	QD Score: 15.93184377
[017500/100000]	Cells: 251  Coverage: 0.09574890%		Max Fitness: 0.07705704	Mean Fitness: 0.06518505	Min Fitness: 0.05231558	QD Score: 16.36144851
[018000/100000]	Cells: 258  Coverage: 0.09841919%		Max Fitness: 0.07705704	Mean Fitness: 0.06525026	Min Fitness: 0.05231558	QD Score: 16.83456689
[018500/100000]	Cells: 261  Coverage: 0.09956360%		Max Fitness: 0.07705704	Mean Fitness: 0.06525336	Min Fitness: 0.05231558	QD Score: 17.03112567
