[000500/100000]	Cells: 6  Coverage: 0.00228882%		Max Fitness: 0.06651494	Mean Fitness: 0.06583106	Min Fitness: 0.06483486	QD Score: 0.39498634
[001000/100000]	Cells: 20  Coverage: 0.00762939%		Max Fitness: 0.07199401	Mean Fitness: 0.06629397	Min Fitness: 0.06159648	QD Score: 1.32587942
[001500/100000]	Cells: 30  Coverage: 0.01144409%		Max Fitness: 0.07331603	Mean Fitness: 0.06529626	Min Fitness: 0.05545011	QD Score: 1.95888790
[002000/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.07711617	Mean Fitness: 0.06526552	Min Fitness: 0.05545011	QD Score: 2.80641719
[002500/100000]	Cells: 48  Coverage: 0.01831055%		Max Fitness: 0.07711617	Mean Fitness: 0.06574032	Min Fitness: 0.05527979	QD Score: 3.15553536
[003000/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.07711617	Mean Fitness: 0.06565565	Min Fitness: 0.05545011	QD Score: 3.93933930
[003500/100000]	Cells: 67  Coverage: 0.02555847%		Max Fitness: 0.07711617	Mean Fitness: 0.06527247	Min Fitness: 0.05545011	QD Score: 4.37325570
[004000/100000]	Cells: 69  Coverage: 0.02632141%		Max Fitness: 0.07711617	Mean Fitness: 0.06531875	Min Fitness: 0.05545011	QD Score: 4.50699388
[004500/100000]	Cells: 73  Coverage: 0.02784729%		Max Fitness: 0.07711617	Mean Fitness: 0.06529700	Min Fitness: 0.05545011	QD Score: 4.76668095
[005000/100000]	Cells: 80  Coverage: 0.03051758%		Max Fitness: 0.07711617	Mean Fitness: 0.06523055	Min Fitness: 0.05545011	QD Score: 5.21844427
[005500/100000]	Cells: 89  Coverage: 0.03395081%		Max Fitness: 0.07711617	Mean Fitness: 0.06489484	Min Fitness: 0.05545011	QD Score: 5.77564091
[006000/100000]	Cells: 101  Coverage: 0.03852844%		Max Fitness: 0.07711617	Mean Fitness: 0.06452260	Min Fitness: 0.05318935	QD Score: 6.51678218
[006500/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.07711617	Mean Fitness: 0.06455891	Min Fitness: 0.05318935	QD Score: 6.64956762
[007000/100000]	Cells: 108  Coverage: 0.04119873%		Max Fitness: 0.07711617	Mean Fitness: 0.06444190	Min Fitness: 0.05318935	QD Score: 6.95972564
[007500/100000]	Cells: 112  Coverage: 0.04272461%		Max Fitness: 0.07711617	Mean Fitness: 0.06465343	Min Fitness: 0.05318935	QD Score: 7.24118371
[008000/100000]	Cells: 119  Coverage: 0.04539490%		Max Fitness: 0.07711617	Mean Fitness: 0.06461196	Min Fitness: 0.05318935	QD Score: 7.68882292
[008500/100000]	Cells: 127  Coverage: 0.04844666%		Max Fitness: 0.07711617	Mean Fitness: 0.06443271	Min Fitness: 0.05318935	QD Score: 8.18295454
[009000/100000]	Cells: 137  Coverage: 0.05226135%		Max Fitness: 0.07711617	Mean Fitness: 0.06417067	Min Fitness: 0.05318935	QD Score: 8.79138244
[009500/100000]	Cells: 143  Coverage: 0.05455017%		Max Fitness: 0.07711617	Mean Fitness: 0.06428188	Min Fitness: 0.05318935	QD Score: 9.19230924
[010000/100000]	Cells: 146  Coverage: 0.05569458%		Max Fitness: 0.07711617	Mean Fitness: 0.06424341	Min Fitness: 0.05318935	QD Score: 9.37953815
[010500/100000]	Cells: 147  Coverage: 0.05607605%		Max Fitness: 0.07711617	Mean Fitness: 0.06435670	Min Fitness: 0.05318935	QD Score: 9.46043471
[011000/100000]	Cells: 154  Coverage: 0.05874634%		Max Fitness: 0.07711617	Mean Fitness: 0.06413823	Min Fitness: 0.05318935	QD Score: 9.87728787
[011500/100000]	Cells: 157  Coverage: 0.05989075%		Max Fitness: 0.07711617	Mean Fitness: 0.06425528	Min Fitness: 0.05318935	QD Score: 10.08807826
[012000/100000]	Cells: 161  Coverage: 0.06141663%		Max Fitness: 0.07711617	Mean Fitness: 0.06417374	Min Fitness: 0.05318935	QD Score: 10.33197181
[012500/100000]	Cells: 166  Coverage: 0.06332397%		Max Fitness: 0.07711617	Mean Fitness: 0.06407419	Min Fitness: 0.05318935	QD Score: 10.63631617
[013000/100000]	Cells: 171  Coverage: 0.06523132%		Max Fitness: 0.07711617	Mean Fitness: 0.06395806	Min Fitness: 0.05318935	QD Score: 10.93682862
[013500/100000]	Cells: 180  Coverage: 0.06866455%		Max Fitness: 0.07711617	Mean Fitness: 0.06403947	Min Fitness: 0.05318935	QD Score: 11.52710455
[014000/100000]	Cells: 183  Coverage: 0.06980896%		Max Fitness: 0.07711617	Mean Fitness: 0.06401695	Min Fitness: 0.05318935	QD Score: 11.71510169
[014500/100000]	Cells: 186  Coverage: 0.07095337%		Max Fitness: 0.07711617	Mean Fitness: 0.06403699	Min Fitness: 0.05318935	QD Score: 11.91088019
[015000/100000]	Cells: 196  Coverage: 0.07476807%		Max Fitness: 0.07711617	Mean Fitness: 0.06395210	Min Fitness: 0.05318935	QD Score: 12.53461212
[015500/100000]	Cells: 201  Coverage: 0.07667542%		Max Fitness: 0.07711617	Mean Fitness: 0.06391755	Min Fitness: 0.05318935	QD Score: 12.84742696
[016000/100000]	Cells: 208  Coverage: 0.07934570%		Max Fitness: 0.07711617	Mean Fitness: 0.06373518	Min Fitness: 0.05267545	QD Score: 13.25691706
[016500/100000]	Cells: 212  Coverage: 0.08087158%		Max Fitness: 0.07711617	Mean Fitness: 0.06372465	Min Fitness: 0.05267545	QD Score: 13.50962512
[017000/100000]	Cells: 218  Coverage: 0.08316040%		Max Fitness: 0.07711617	Mean Fitness: 0.06368671	Min Fitness: 0.05267545	QD Score: 13.88370272
[017500/100000]	Cells: 220  Coverage: 0.08392334%		Max Fitness: 0.07711617	Mean Fitness: 0.06373380	Min Fitness: 0.05267545	QD Score: 14.02143666
[018000/100000]	Cells: 228  Coverage: 0.08697510%		Max Fitness: 0.07711617	Mean Fitness: 0.06365669	Min Fitness: 0.05267545	QD Score: 14.51372553
[018500/100000]	Cells: 234  Coverage: 0.08926392%		Max Fitness: 0.07711617	Mean Fitness: 0.06362925	Min Fitness: 0.05267545	QD Score: 14.88924550
[019000/100000]	Cells: 240  Coverage: 0.09155273%		Max Fitness: 0.07711617	Mean Fitness: 0.06354776	Min Fitness: 0.05267545	QD Score: 15.25146290
[019500/100000]	Cells: 243  Coverage: 0.09269714%		Max Fitness: 0.07711617	Mean Fitness: 0.06357895	Min Fitness: 0.05267545	QD Score: 15.44968546
[020000/100000]	Cells: 247  Coverage: 0.09422302%		Max Fitness: 0.07711617	Mean Fitness: 0.06355519	Min Fitness: 0.05267545	QD Score: 15.69813239
[020500/100000]	Cells: 252  Coverage: 0.09613037%		Max Fitness: 0.07711617	Mean Fitness: 0.06354486	Min Fitness: 0.05267545	QD Score: 16.01330524
[021000/100000]	Cells: 254  Coverage: 0.09689331%		Max Fitness: 0.07711617	Mean Fitness: 0.06355438	Min Fitness: 0.05267545	QD Score: 16.14281211
[021500/100000]	Cells: 256  Coverage: 0.09765625%		Max Fitness: 0.07711617	Mean Fitness: 0.06354266	Min Fitness: 0.05187232	QD Score: 16.26692075
