[019500/100000]	Cells: 182  Coverage: 0.06942749%		Max Fitness: 0.09302088	Mean Fitness: 0.07294004	Min Fitness: 0.06065449	QD Score: 13.27508793
[020000/100000]	Cells: 185  Coverage: 0.07057190%		Max Fitness: 0.09302088	Mean Fitness: 0.07291641	Min Fitness: 0.06065449	QD Score: 13.48953504
[020500/100000]	Cells: 188  Coverage: 0.07171631%		Max Fitness: 0.09302088	Mean Fitness: 0.07313175	Min Fitness: 0.06065449	QD Score: 13.74876957
[021000/100000]	Cells: 192  Coverage: 0.07324219%		Max Fitness: 0.09302088	Mean Fitness: 0.07303687	Min Fitness: 0.06065449	QD Score: 14.02307890
[021500/100000]	Cells: 196  Coverage: 0.07476807%		Max Fitness: 0.09302088	Mean Fitness: 0.07295651	Min Fitness: 0.06065449	QD Score: 14.29947635
[022000/100000]	Cells: 201  Coverage: 0.07667542%		Max Fitness: 0.09302088	Mean Fitness: 0.07295529	Min Fitness: 0.06065449	QD Score: 14.66401279
[022500/100000]	Cells: 203  Coverage: 0.07743835%		Max Fitness: 0.09302088	Mean Fitness: 0.07289867	Min Fitness: 0.06065449	QD Score: 14.79842995
[023000/100000]	Cells: 206  Coverage: 0.07858276%		Max Fitness: 0.09302088	Mean Fitness: 0.07282699	Min Fitness: 0.06065449	QD Score: 15.00236092
[023500/100000]	Cells: 208  Coverage: 0.07934570%		Max Fitness: 0.09302088	Mean Fitness: 0.07283191	Min Fitness: 0.06065449	QD Score: 15.14903831
[024000/100000]	Cells: 211  Coverage: 0.08049011%		Max Fitness: 0.09302088	Mean Fitness: 0.07276791	Min Fitness: 0.06065449	QD Score: 15.35402928
[024500/100000]	Cells: 217  Coverage: 0.08277893%		Max Fitness: 0.09302088	Mean Fitness: 0.07277165	Min Fitness: 0.06065449	QD Score: 15.79144900
[025000/100000]	Cells: 218  Coverage: 0.08316040%		Max Fitness: 0.09302088	Mean Fitness: 0.07274396	Min Fitness: 0.06065449	QD Score: 15.85818411
[025500/100000]	Cells: 222  Coverage: 0.08468628%		Max Fitness: 0.09302088	Mean Fitness: 0.07267171	Min Fitness: 0.06065449	QD Score: 16.13311904
