[000500/100000]	Cells: 6  Coverage: 0.00228882%		Max Fitness: 0.06704450	Mean Fitness: 0.06670019	Min Fitness: 0.06609952	QD Score: 0.40020113
[001000/100000]	Cells: 15  Coverage: 0.00572205%		Max Fitness: 0.06833956	Mean Fitness: 0.06617150	Min Fitness: 0.06390047	QD Score: 0.99257253
[001500/100000]	Cells: 21  Coverage: 0.00801086%		Max Fitness: 0.07068566	Mean Fitness: 0.06614705	Min Fitness: 0.06277280	QD Score: 1.38908798
[002000/100000]	Cells: 27  Coverage: 0.01029968%		Max Fitness: 0.07232213	Mean Fitness: 0.06569862	Min Fitness: 0.06131661	QD Score: 1.77386263
[002500/100000]	Cells: 35  Coverage: 0.01335144%		Max Fitness: 0.07547271	Mean Fitness: 0.06644937	Min Fitness: 0.06131661	QD Score: 2.32572806
[003000/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.07564262	Mean Fitness: 0.06655854	Min Fitness: 0.06151639	QD Score: 2.92857557
[003500/100000]	Cells: 51  Coverage: 0.01945496%		Max Fitness: 0.07564262	Mean Fitness: 0.06654353	Min Fitness: 0.06151639	QD Score: 3.39371985
[004000/100000]	Cells: 55  Coverage: 0.02098083%		Max Fitness: 0.07564262	Mean Fitness: 0.06675419	Min Fitness: 0.06151639	QD Score: 3.67148040
[004500/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.07564262	Mean Fitness: 0.06661372	Min Fitness: 0.06053571	QD Score: 4.19666426
[005000/100000]	Cells: 74  Coverage: 0.02822876%		Max Fitness: 0.07564262	Mean Fitness: 0.06656878	Min Fitness: 0.05993840	QD Score: 4.92608989
[005500/100000]	Cells: 77  Coverage: 0.02937317%		Max Fitness: 0.07564262	Mean Fitness: 0.06660452	Min Fitness: 0.05993840	QD Score: 5.12854790
[006000/100000]	Cells: 84  Coverage: 0.03204346%		Max Fitness: 0.07564262	Mean Fitness: 0.06660354	Min Fitness: 0.06035352	QD Score: 5.59469750
[006500/100000]	Cells: 92  Coverage: 0.03509521%		Max Fitness: 0.07564262	Mean Fitness: 0.06654846	Min Fitness: 0.06053571	QD Score: 6.12245872
[007000/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07566688	Mean Fitness: 0.06651324	Min Fitness: 0.06053571	QD Score: 6.31875820
[007500/100000]	Cells: 98  Coverage: 0.03738403%		Max Fitness: 0.07566688	Mean Fitness: 0.06657341	Min Fitness: 0.06053571	QD Score: 6.52419447
[008000/100000]	Cells: 107  Coverage: 0.04081726%		Max Fitness: 0.07566688	Mean Fitness: 0.06638522	Min Fitness: 0.05656102	QD Score: 7.10321814
