[019500/100000]	Cells: 229  Coverage: 0.08735657%		Max Fitness: 0.07698213	Mean Fitness: 0.06603068	Min Fitness: 0.05490977	QD Score: 15.12102667
[020000/100000]	Cells: 231  Coverage: 0.08811951%		Max Fitness: 0.07698213	Mean Fitness: 0.06601778	Min Fitness: 0.05490977	QD Score: 15.25010612
[020500/100000]	Cells: 233  Coverage: 0.08888245%		Max Fitness: 0.07698213	Mean Fitness: 0.06599164	Min Fitness: 0.05490977	QD Score: 15.37605179
[021000/100000]	Cells: 236  Coverage: 0.09002686%		Max Fitness: 0.07698213	Mean Fitness: 0.06596325	Min Fitness: 0.05490977	QD Score: 15.56732770
[021500/100000]	Cells: 243  Coverage: 0.09269714%		Max Fitness: 0.07698213	Mean Fitness: 0.06597630	Min Fitness: 0.05490977	QD Score: 16.03224010
[022000/100000]	Cells: 247  Coverage: 0.09422302%		Max Fitness: 0.07698213	Mean Fitness: 0.06607417	Min Fitness: 0.05490977	QD Score: 16.32032014
[022500/100000]	Cells: 253  Coverage: 0.09651184%		Max Fitness: 0.07698213	Mean Fitness: 0.06607047	Min Fitness: 0.05490977	QD Score: 16.71582856
[023000/100000]	Cells: 253  Coverage: 0.09651184%		Max Fitness: 0.07698213	Mean Fitness: 0.06611852	Min Fitness: 0.05490977	QD Score: 16.72798541
[023500/100000]	Cells: 263  Coverage: 0.10032654%		Max Fitness: 0.07698213	Mean Fitness: 0.06604542	Min Fitness: 0.05490977	QD Score: 17.36994570
[024000/100000]	Cells: 265  Coverage: 0.10108948%		Max Fitness: 0.07698213	Mean Fitness: 0.06610836	Min Fitness: 0.05490977	QD Score: 17.51871658
[024500/100000]	Cells: 268  Coverage: 0.10223389%		Max Fitness: 0.07820486	Mean Fitness: 0.06615497	Min Fitness: 0.05490977	QD Score: 17.72953174
[025000/100000]	Cells: 275  Coverage: 0.10490417%		Max Fitness: 0.07820486	Mean Fitness: 0.06614825	Min Fitness: 0.05490977	QD Score: 18.19076940
[025500/100000]	Cells: 277  Coverage: 0.10566711%		Max Fitness: 0.07820486	Mean Fitness: 0.06615019	Min Fitness: 0.05490977	QD Score: 18.32360142
[026000/100000]	Cells: 278  Coverage: 0.10604858%		Max Fitness: 0.07820486	Mean Fitness: 0.06617775	Min Fitness: 0.05490977	QD Score: 18.39741503
[026500/100000]	Cells: 278  Coverage: 0.10604858%		Max Fitness: 0.07820486	Mean Fitness: 0.06619639	Min Fitness: 0.05490977	QD Score: 18.40259666
[027000/100000]	Cells: 281  Coverage: 0.10719299%		Max Fitness: 0.07820486	Mean Fitness: 0.06617995	Min Fitness: 0.05490977	QD Score: 18.59656673
[027500/100000]	Cells: 288  Coverage: 0.10986328%		Max Fitness: 0.07820486	Mean Fitness: 0.06616682	Min Fitness: 0.05490977	QD Score: 19.05604337
[028000/100000]	Cells: 289  Coverage: 0.11024475%		Max Fitness: 0.07820486	Mean Fitness: 0.06619598	Min Fitness: 0.05490977	QD Score: 19.13063831
[028500/100000]	Cells: 293  Coverage: 0.11177063%		Max Fitness: 0.07820486	Mean Fitness: 0.06622097	Min Fitness: 0.05490977	QD Score: 19.40274477
[029000/100000]	Cells: 298  Coverage: 0.11367798%		Max Fitness: 0.07820486	Mean Fitness: 0.06624761	Min Fitness: 0.05490977	QD Score: 19.74178789
[029500/100000]	Cells: 300  Coverage: 0.11444092%		Max Fitness: 0.07820486	Mean Fitness: 0.06625790	Min Fitness: 0.05490977	QD Score: 19.87736879
[030000/100000]	Cells: 303  Coverage: 0.11558533%		Max Fitness: 0.07820486	Mean Fitness: 0.06626964	Min Fitness: 0.05490977	QD Score: 20.07970063
[030500/100000]	Cells: 303  Coverage: 0.11558533%		Max Fitness: 0.07820486	Mean Fitness: 0.06626964	Min Fitness: 0.05490977	QD Score: 20.07970063
[031000/100000]	Cells: 312  Coverage: 0.11901855%		Max Fitness: 0.07820486	Mean Fitness: 0.06617404	Min Fitness: 0.05490977	QD Score: 20.64630042
[031500/100000]	Cells: 314  Coverage: 0.11978149%		Max Fitness: 0.07820486	Mean Fitness: 0.06614250	Min Fitness: 0.05490977	QD Score: 20.76874532
[032000/100000]	Cells: 318  Coverage: 0.12130737%		Max Fitness: 0.07820486	Mean Fitness: 0.06609452	Min Fitness: 0.05490977	QD Score: 21.01805892
[032500/100000]	Cells: 322  Coverage: 0.12283325%		Max Fitness: 0.07820486	Mean Fitness: 0.06613700	Min Fitness: 0.05490977	QD Score: 21.29611262
[033000/100000]	Cells: 326  Coverage: 0.12435913%		Max Fitness: 0.07820486	Mean Fitness: 0.06614470	Min Fitness: 0.05490977	QD Score: 21.56317154
[033500/100000]	Cells: 332  Coverage: 0.12664795%		Max Fitness: 0.07820486	Mean Fitness: 0.06610502	Min Fitness: 0.05490977	QD Score: 21.94686642
[034000/100000]	Cells: 333  Coverage: 0.12702942%		Max Fitness: 0.07820486	Mean Fitness: 0.06610940	Min Fitness: 0.05490977	QD Score: 22.01443148
[034500/100000]	Cells: 339  Coverage: 0.12931824%		Max Fitness: 0.07820486	Mean Fitness: 0.06611095	Min Fitness: 0.05490977	QD Score: 22.41161173
[035000/100000]	Cells: 343  Coverage: 0.13084412%		Max Fitness: 0.07820486	Mean Fitness: 0.06605809	Min Fitness: 0.05490977	QD Score: 22.65792591
[035500/100000]	Cells: 348  Coverage: 0.13275146%		Max Fitness: 0.07820486	Mean Fitness: 0.06602926	Min Fitness: 0.05490977	QD Score: 22.97818365
[036000/100000]	Cells: 354  Coverage: 0.13504028%		Max Fitness: 0.07820486	Mean Fitness: 0.06600639	Min Fitness: 0.05490977	QD Score: 23.36626242
[036500/100000]	Cells: 356  Coverage: 0.13580322%		Max Fitness: 0.07820486	Mean Fitness: 0.06601237	Min Fitness: 0.05490977	QD Score: 23.50040228
[037000/100000]	Cells: 361  Coverage: 0.13771057%		Max Fitness: 0.07820486	Mean Fitness: 0.06598637	Min Fitness: 0.05490977	QD Score: 23.82107813
[037500/100000]	Cells: 363  Coverage: 0.13847351%		Max Fitness: 0.07820486	Mean Fitness: 0.06602979	Min Fitness: 0.05490977	QD Score: 23.96881458
[038000/100000]	Cells: 364  Coverage: 0.13885498%		Max Fitness: 0.07820486	Mean Fitness: 0.06601540	Min Fitness: 0.05490977	QD Score: 24.02960459
[038500/100000]	Cells: 367  Coverage: 0.13999939%		Max Fitness: 0.07820486	Mean Fitness: 0.06599177	Min Fitness: 0.05490977	QD Score: 24.21897942
