[019500/100000]	Cells: 206  Coverage: 0.07858276%		Max Fitness: 0.07619591	Mean Fitness: 0.06544142	Min Fitness: 0.05573948	QD Score: 13.48093344
[020000/100000]	Cells: 207  Coverage: 0.07896423%		Max Fitness: 0.07698192	Mean Fitness: 0.06542890	Min Fitness: 0.05573948	QD Score: 13.54378129
[020500/100000]	Cells: 208  Coverage: 0.07934570%		Max Fitness: 0.07698192	Mean Fitness: 0.06549486	Min Fitness: 0.05573948	QD Score: 13.62292987
[021000/100000]	Cells: 211  Coverage: 0.08049011%		Max Fitness: 0.07698192	Mean Fitness: 0.06550371	Min Fitness: 0.05573948	QD Score: 13.82128317
[021500/100000]	Cells: 215  Coverage: 0.08201599%		Max Fitness: 0.07698192	Mean Fitness: 0.06549203	Min Fitness: 0.05573948	QD Score: 14.08078584
[022000/100000]	Cells: 219  Coverage: 0.08354187%		Max Fitness: 0.07698192	Mean Fitness: 0.06551454	Min Fitness: 0.05573948	QD Score: 14.34768407
[022500/100000]	Cells: 220  Coverage: 0.08392334%		Max Fitness: 0.07698192	Mean Fitness: 0.06556284	Min Fitness: 0.05573948	QD Score: 14.42382524
[023000/100000]	Cells: 224  Coverage: 0.08544922%		Max Fitness: 0.07698192	Mean Fitness: 0.06556780	Min Fitness: 0.05573948	QD Score: 14.68718808
[023500/100000]	Cells: 229  Coverage: 0.08735657%		Max Fitness: 0.07698192	Mean Fitness: 0.06552702	Min Fitness: 0.05573948	QD Score: 15.00568798
[024000/100000]	Cells: 232  Coverage: 0.08850098%		Max Fitness: 0.07698192	Mean Fitness: 0.06554353	Min Fitness: 0.05573948	QD Score: 15.20609990
[024500/100000]	Cells: 235  Coverage: 0.08964539%		Max Fitness: 0.07698192	Mean Fitness: 0.06553527	Min Fitness: 0.05573948	QD Score: 15.40078728
[025000/100000]	Cells: 241  Coverage: 0.09193420%		Max Fitness: 0.07698192	Mean Fitness: 0.06553878	Min Fitness: 0.05573948	QD Score: 15.79484680
[025500/100000]	Cells: 246  Coverage: 0.09384155%		Max Fitness: 0.07698192	Mean Fitness: 0.06551269	Min Fitness: 0.05573948	QD Score: 16.11612053
[026000/100000]	Cells: 250  Coverage: 0.09536743%		Max Fitness: 0.07698192	Mean Fitness: 0.06547578	Min Fitness: 0.05573948	QD Score: 16.36894486
