[000500/100000]	Cells: 10  Coverage: 0.00381470%		Max Fitness: 0.06659799	Mean Fitness: 0.06605977	Min Fitness: 0.06564368	QD Score: 0.66059772
[001000/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.06702783	Mean Fitness: 0.06543765	Min Fitness: 0.06279655	QD Score: 1.50506591
[001500/100000]	Cells: 35  Coverage: 0.01335144%		Max Fitness: 0.07404873	Mean Fitness: 0.06569359	Min Fitness: 0.06110479	QD Score: 2.29927561
[002000/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.07404873	Mean Fitness: 0.06551924	Min Fitness: 0.06110479	QD Score: 2.88284638
[002500/100000]	Cells: 52  Coverage: 0.01983643%		Max Fitness: 0.07404873	Mean Fitness: 0.06588006	Min Fitness: 0.06110479	QD Score: 3.42576333
[003000/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.07404873	Mean Fitness: 0.06596592	Min Fitness: 0.06110479	QD Score: 3.69409144
[003500/100000]	Cells: 58  Coverage: 0.02212524%		Max Fitness: 0.07546865	Mean Fitness: 0.06641764	Min Fitness: 0.06110479	QD Score: 3.85222335
[004000/100000]	Cells: 66  Coverage: 0.02517700%		Max Fitness: 0.07673758	Mean Fitness: 0.06626112	Min Fitness: 0.05965721	QD Score: 4.37323393
[004500/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.07673758	Mean Fitness: 0.06628039	Min Fitness: 0.05965721	QD Score: 4.63962716
[005000/100000]	Cells: 79  Coverage: 0.03013611%		Max Fitness: 0.07746350	Mean Fitness: 0.06624159	Min Fitness: 0.05965721	QD Score: 5.23308551
[005500/100000]	Cells: 81  Coverage: 0.03089905%		Max Fitness: 0.07746350	Mean Fitness: 0.06650659	Min Fitness: 0.05965721	QD Score: 5.38703397
[006000/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.07746350	Mean Fitness: 0.06638123	Min Fitness: 0.05965721	QD Score: 5.70878540
[006500/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.07746350	Mean Fitness: 0.06639251	Min Fitness: 0.05965721	QD Score: 6.17450300
[007000/100000]	Cells: 98  Coverage: 0.03738403%		Max Fitness: 0.07746350	Mean Fitness: 0.06620040	Min Fitness: 0.05965721	QD Score: 6.48763911
[007500/100000]	Cells: 105  Coverage: 0.04005432%		Max Fitness: 0.07818801	Mean Fitness: 0.06626897	Min Fitness: 0.05965721	QD Score: 6.95824153
[008000/100000]	Cells: 107  Coverage: 0.04081726%		Max Fitness: 0.07818801	Mean Fitness: 0.06639257	Min Fitness: 0.05965721	QD Score: 7.10400528
[008500/100000]	Cells: 112  Coverage: 0.04272461%		Max Fitness: 0.07818801	Mean Fitness: 0.06637254	Min Fitness: 0.05965721	QD Score: 7.43372436
[009000/100000]	Cells: 118  Coverage: 0.04501343%		Max Fitness: 0.07818801	Mean Fitness: 0.06619149	Min Fitness: 0.05863022	QD Score: 7.81059582
[009500/100000]	Cells: 129  Coverage: 0.04920959%		Max Fitness: 0.07818801	Mean Fitness: 0.06614326	Min Fitness: 0.05863022	QD Score: 8.53248002
[010000/100000]	Cells: 136  Coverage: 0.05187988%		Max Fitness: 0.07818801	Mean Fitness: 0.06629225	Min Fitness: 0.05863022	QD Score: 9.01574569
[010500/100000]	Cells: 141  Coverage: 0.05378723%		Max Fitness: 0.07818801	Mean Fitness: 0.06625790	Min Fitness: 0.05798639	QD Score: 9.34236411
[011000/100000]	Cells: 144  Coverage: 0.05493164%		Max Fitness: 0.07818801	Mean Fitness: 0.06624050	Min Fitness: 0.05798639	QD Score: 9.53863169
