[019500/100000]	Cells: 217  Coverage: 0.08277893%		Max Fitness: 0.07658588	Mean Fitness: 0.06656347	Min Fitness: 0.05738669	QD Score: 14.44427405
[020000/100000]	Cells: 220  Coverage: 0.08392334%		Max Fitness: 0.07658588	Mean Fitness: 0.06649278	Min Fitness: 0.05738669	QD Score: 14.62841176
[020500/100000]	Cells: 223  Coverage: 0.08506775%		Max Fitness: 0.07658588	Mean Fitness: 0.06651561	Min Fitness: 0.05738669	QD Score: 14.83297993
[021000/100000]	Cells: 230  Coverage: 0.08773804%		Max Fitness: 0.07658588	Mean Fitness: 0.06643958	Min Fitness: 0.05738669	QD Score: 15.28110317
[021500/100000]	Cells: 231  Coverage: 0.08811951%		Max Fitness: 0.07658588	Mean Fitness: 0.06648213	Min Fitness: 0.05738669	QD Score: 15.35737240
[022000/100000]	Cells: 234  Coverage: 0.08926392%		Max Fitness: 0.07658588	Mean Fitness: 0.06646513	Min Fitness: 0.05738669	QD Score: 15.55284071
[022500/100000]	Cells: 237  Coverage: 0.09040833%		Max Fitness: 0.07658588	Mean Fitness: 0.06644560	Min Fitness: 0.05738669	QD Score: 15.74760722
[023000/100000]	Cells: 246  Coverage: 0.09384155%		Max Fitness: 0.07658588	Mean Fitness: 0.06644592	Min Fitness: 0.05738669	QD Score: 16.34569685
[023500/100000]	Cells: 247  Coverage: 0.09422302%		Max Fitness: 0.07658588	Mean Fitness: 0.06647981	Min Fitness: 0.05738669	QD Score: 16.42051309
[024000/100000]	Cells: 250  Coverage: 0.09536743%		Max Fitness: 0.07658588	Mean Fitness: 0.06647133	Min Fitness: 0.05738669	QD Score: 16.61783129
[024500/100000]	Cells: 258  Coverage: 0.09841919%		Max Fitness: 0.07658588	Mean Fitness: 0.06637980	Min Fitness: 0.05738669	QD Score: 17.12598787
[025000/100000]	Cells: 258  Coverage: 0.09841919%		Max Fitness: 0.07658588	Mean Fitness: 0.06643413	Min Fitness: 0.05738669	QD Score: 17.14000505
[025500/100000]	Cells: 261  Coverage: 0.09956360%		Max Fitness: 0.07658588	Mean Fitness: 0.06637707	Min Fitness: 0.05645941	QD Score: 17.32441556
[026000/100000]	Cells: 262  Coverage: 0.09994507%		Max Fitness: 0.07658588	Mean Fitness: 0.06640868	Min Fitness: 0.05645941	QD Score: 17.39907536
[026500/100000]	Cells: 264  Coverage: 0.10070801%		Max Fitness: 0.07693225	Mean Fitness: 0.06639711	Min Fitness: 0.05645941	QD Score: 17.52883673
[027000/100000]	Cells: 268  Coverage: 0.10223389%		Max Fitness: 0.07693225	Mean Fitness: 0.06642910	Min Fitness: 0.05645941	QD Score: 17.80299774
[027500/100000]	Cells: 273  Coverage: 0.10414124%		Max Fitness: 0.07693225	Mean Fitness: 0.06643670	Min Fitness: 0.05645941	QD Score: 18.13721970
[028000/100000]	Cells: 274  Coverage: 0.10452271%		Max Fitness: 0.07693225	Mean Fitness: 0.06648578	Min Fitness: 0.05645941	QD Score: 18.21710309
[028500/100000]	Cells: 276  Coverage: 0.10528564%		Max Fitness: 0.07693225	Mean Fitness: 0.06646483	Min Fitness: 0.05645941	QD Score: 18.34429360
[029000/100000]	Cells: 281  Coverage: 0.10719299%		Max Fitness: 0.07693225	Mean Fitness: 0.06641177	Min Fitness: 0.05645941	QD Score: 18.66170859
[029500/100000]	Cells: 283  Coverage: 0.10795593%		Max Fitness: 0.07693225	Mean Fitness: 0.06639373	Min Fitness: 0.05645941	QD Score: 18.78942567
[030000/100000]	Cells: 285  Coverage: 0.10871887%		Max Fitness: 0.07693225	Mean Fitness: 0.06639392	Min Fitness: 0.05645941	QD Score: 18.92226659
[030500/100000]	Cells: 286  Coverage: 0.10910034%		Max Fitness: 0.07693225	Mean Fitness: 0.06644867	Min Fitness: 0.05645941	QD Score: 19.00431889
[031000/100000]	Cells: 289  Coverage: 0.11024475%		Max Fitness: 0.07734258	Mean Fitness: 0.06649486	Min Fitness: 0.05645941	QD Score: 19.21701583
[031500/100000]	Cells: 292  Coverage: 0.11138916%		Max Fitness: 0.07734258	Mean Fitness: 0.06648994	Min Fitness: 0.05645941	QD Score: 19.41506382
[032000/100000]	Cells: 295  Coverage: 0.11253357%		Max Fitness: 0.07734258	Mean Fitness: 0.06649538	Min Fitness: 0.05645941	QD Score: 19.61613636
