[000500/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.06659799	Mean Fitness: 0.06580464	Min Fitness: 0.06445874	QD Score: 0.78965566
[001000/100000]	Cells: 25  Coverage: 0.00953674%		Max Fitness: 0.07445176	Mean Fitness: 0.06603291	Min Fitness: 0.06237920	QD Score: 1.65082283
[001500/100000]	Cells: 39  Coverage: 0.01487732%		Max Fitness: 0.07445176	Mean Fitness: 0.06574330	Min Fitness: 0.06052894	QD Score: 2.56398873
[002000/100000]	Cells: 50  Coverage: 0.01907349%		Max Fitness: 0.07445176	Mean Fitness: 0.06580688	Min Fitness: 0.06052894	QD Score: 3.29034399
[002500/100000]	Cells: 57  Coverage: 0.02174377%		Max Fitness: 0.07446109	Mean Fitness: 0.06599829	Min Fitness: 0.05898962	QD Score: 3.76190267
[003000/100000]	Cells: 69  Coverage: 0.02632141%		Max Fitness: 0.07757086	Mean Fitness: 0.06611340	Min Fitness: 0.05898962	QD Score: 4.56182450
[003500/100000]	Cells: 73  Coverage: 0.02784729%		Max Fitness: 0.07757086	Mean Fitness: 0.06602907	Min Fitness: 0.05898962	QD Score: 4.82012196
[004000/100000]	Cells: 81  Coverage: 0.03089905%		Max Fitness: 0.07757086	Mean Fitness: 0.06584978	Min Fitness: 0.05898962	QD Score: 5.33383251
[004500/100000]	Cells: 85  Coverage: 0.03242493%		Max Fitness: 0.07757086	Mean Fitness: 0.06598197	Min Fitness: 0.05898962	QD Score: 5.60846786
[005000/100000]	Cells: 87  Coverage: 0.03318787%		Max Fitness: 0.07757086	Mean Fitness: 0.06597059	Min Fitness: 0.05898962	QD Score: 5.73944149
[005500/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07757086	Mean Fitness: 0.06587119	Min Fitness: 0.05898962	QD Score: 6.25776260
[006000/100000]	Cells: 98  Coverage: 0.03738403%		Max Fitness: 0.07757086	Mean Fitness: 0.06590553	Min Fitness: 0.05898962	QD Score: 6.45874203
[006500/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.07757086	Mean Fitness: 0.06598426	Min Fitness: 0.05898962	QD Score: 6.73039410
[007000/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.07757086	Mean Fitness: 0.06598208	Min Fitness: 0.05976735	QD Score: 7.19204620
[007500/100000]	Cells: 118  Coverage: 0.04501343%		Max Fitness: 0.07757086	Mean Fitness: 0.06593632	Min Fitness: 0.05828271	QD Score: 7.78048592
[008000/100000]	Cells: 128  Coverage: 0.04882813%		Max Fitness: 0.07757086	Mean Fitness: 0.06606396	Min Fitness: 0.05828271	QD Score: 8.45618657
[008500/100000]	Cells: 133  Coverage: 0.05073547%		Max Fitness: 0.07757086	Mean Fitness: 0.06599737	Min Fitness: 0.05828271	QD Score: 8.77765015
[009000/100000]	Cells: 140  Coverage: 0.05340576%		Max Fitness: 0.07757086	Mean Fitness: 0.06595923	Min Fitness: 0.05828271	QD Score: 9.23429254
[009500/100000]	Cells: 145  Coverage: 0.05531311%		Max Fitness: 0.07757086	Mean Fitness: 0.06596994	Min Fitness: 0.05828271	QD Score: 9.56564066
[010000/100000]	Cells: 149  Coverage: 0.05683899%		Max Fitness: 0.07757086	Mean Fitness: 0.06592294	Min Fitness: 0.05828271	QD Score: 9.82251873
[010500/100000]	Cells: 156  Coverage: 0.05950928%		Max Fitness: 0.07757086	Mean Fitness: 0.06592630	Min Fitness: 0.05828271	QD Score: 10.28450282
[011000/100000]	Cells: 160  Coverage: 0.06103516%		Max Fitness: 0.07757086	Mean Fitness: 0.06595580	Min Fitness: 0.05828271	QD Score: 10.55292837
[011500/100000]	Cells: 165  Coverage: 0.06294250%		Max Fitness: 0.07757086	Mean Fitness: 0.06594151	Min Fitness: 0.05828271	QD Score: 10.88034963
[012000/100000]	Cells: 172  Coverage: 0.06561279%		Max Fitness: 0.07757086	Mean Fitness: 0.06588600	Min Fitness: 0.05828271	QD Score: 11.33239272
[012500/100000]	Cells: 181  Coverage: 0.06904602%		Max Fitness: 0.07757086	Mean Fitness: 0.06571534	Min Fitness: 0.05689232	QD Score: 11.89447610
[013000/100000]	Cells: 187  Coverage: 0.07133484%		Max Fitness: 0.07757086	Mean Fitness: 0.06574219	Min Fitness: 0.05689232	QD Score: 12.29378904
[013500/100000]	Cells: 194  Coverage: 0.07400513%		Max Fitness: 0.07757086	Mean Fitness: 0.06580840	Min Fitness: 0.05689232	QD Score: 12.76682887
[014000/100000]	Cells: 197  Coverage: 0.07514954%		Max Fitness: 0.07757086	Mean Fitness: 0.06589374	Min Fitness: 0.05689232	QD Score: 12.98106766
[014500/100000]	Cells: 203  Coverage: 0.07743835%		Max Fitness: 0.07757086	Mean Fitness: 0.06580688	Min Fitness: 0.05675634	QD Score: 13.35879584
[015000/100000]	Cells: 211  Coverage: 0.08049011%		Max Fitness: 0.07757086	Mean Fitness: 0.06579398	Min Fitness: 0.05675634	QD Score: 13.88253030
[015500/100000]	Cells: 216  Coverage: 0.08239746%		Max Fitness: 0.07757086	Mean Fitness: 0.06579163	Min Fitness: 0.05675634	QD Score: 14.21099304
[016000/100000]	Cells: 218  Coverage: 0.08316040%		Max Fitness: 0.07757086	Mean Fitness: 0.06595737	Min Fitness: 0.05689232	QD Score: 14.37870709
[016500/100000]	Cells: 221  Coverage: 0.08430481%		Max Fitness: 0.07757086	Mean Fitness: 0.06600199	Min Fitness: 0.05689232	QD Score: 14.58643880
[017000/100000]	Cells: 227  Coverage: 0.08659363%		Max Fitness: 0.07757086	Mean Fitness: 0.06603191	Min Fitness: 0.05689232	QD Score: 14.98924401
[017500/100000]	Cells: 232  Coverage: 0.08850098%		Max Fitness: 0.07757086	Mean Fitness: 0.06601518	Min Fitness: 0.05689232	QD Score: 15.31552223
