[019500/100000]	Cells: 194  Coverage: 0.07400513%		Max Fitness: 0.07801794	Mean Fitness: 0.06597365	Min Fitness: 0.05854951	QD Score: 12.79888883
[020000/100000]	Cells: 198  Coverage: 0.07553101%		Max Fitness: 0.07801794	Mean Fitness: 0.06588531	Min Fitness: 0.05854951	QD Score: 13.04529069
[020500/100000]	Cells: 199  Coverage: 0.07591248%		Max Fitness: 0.07801794	Mean Fitness: 0.06592547	Min Fitness: 0.05854951	QD Score: 13.11916797
[021000/100000]	Cells: 204  Coverage: 0.07781982%		Max Fitness: 0.07801794	Mean Fitness: 0.06585835	Min Fitness: 0.05841119	QD Score: 13.43510388
[021500/100000]	Cells: 208  Coverage: 0.07934570%		Max Fitness: 0.07801794	Mean Fitness: 0.06587014	Min Fitness: 0.05841119	QD Score: 13.70098991
[022000/100000]	Cells: 214  Coverage: 0.08163452%		Max Fitness: 0.07801794	Mean Fitness: 0.06582632	Min Fitness: 0.05841119	QD Score: 14.08683141
[022500/100000]	Cells: 218  Coverage: 0.08316040%		Max Fitness: 0.07801794	Mean Fitness: 0.06580238	Min Fitness: 0.05841119	QD Score: 14.34491832
[023000/100000]	Cells: 223  Coverage: 0.08506775%		Max Fitness: 0.07801794	Mean Fitness: 0.06576759	Min Fitness: 0.05841119	QD Score: 14.66617263
[023500/100000]	Cells: 225  Coverage: 0.08583069%		Max Fitness: 0.07801794	Mean Fitness: 0.06574678	Min Fitness: 0.05841119	QD Score: 14.79302507
[024000/100000]	Cells: 230  Coverage: 0.08773804%		Max Fitness: 0.07801794	Mean Fitness: 0.06576470	Min Fitness: 0.05841119	QD Score: 15.12588187
[024500/100000]	Cells: 238  Coverage: 0.09078979%		Max Fitness: 0.07801794	Mean Fitness: 0.06573428	Min Fitness: 0.05794903	QD Score: 15.64475787
[025000/100000]	Cells: 240  Coverage: 0.09155273%		Max Fitness: 0.07801794	Mean Fitness: 0.06574855	Min Fitness: 0.05780629	QD Score: 15.77965229
[025500/100000]	Cells: 244  Coverage: 0.09307861%		Max Fitness: 0.07801794	Mean Fitness: 0.06580418	Min Fitness: 0.05780629	QD Score: 16.05622102
[026000/100000]	Cells: 244  Coverage: 0.09307861%		Max Fitness: 0.07801794	Mean Fitness: 0.06584963	Min Fitness: 0.05780629	QD Score: 16.06731019
[026500/100000]	Cells: 249  Coverage: 0.09498596%		Max Fitness: 0.07801794	Mean Fitness: 0.06585968	Min Fitness: 0.05780629	QD Score: 16.39906143
[027000/100000]	Cells: 251  Coverage: 0.09574890%		Max Fitness: 0.07801794	Mean Fitness: 0.06584290	Min Fitness: 0.05780629	QD Score: 16.52656911
[027500/100000]	Cells: 254  Coverage: 0.09689331%		Max Fitness: 0.07801794	Mean Fitness: 0.06580445	Min Fitness: 0.05780629	QD Score: 16.71433085
[028000/100000]	Cells: 261  Coverage: 0.09956360%		Max Fitness: 0.07801794	Mean Fitness: 0.06575751	Min Fitness: 0.05767065	QD Score: 17.16271064
[028500/100000]	Cells: 265  Coverage: 0.10108948%		Max Fitness: 0.07801794	Mean Fitness: 0.06576983	Min Fitness: 0.05767065	QD Score: 17.42900605
[029000/100000]	Cells: 271  Coverage: 0.10337830%		Max Fitness: 0.07801794	Mean Fitness: 0.06575632	Min Fitness: 0.05767065	QD Score: 17.81996387
[029500/100000]	Cells: 276  Coverage: 0.10528564%		Max Fitness: 0.07801794	Mean Fitness: 0.06575085	Min Fitness: 0.05767065	QD Score: 18.14723398
[030000/100000]	Cells: 281  Coverage: 0.10719299%		Max Fitness: 0.07801794	Mean Fitness: 0.06574845	Min Fitness: 0.05767065	QD Score: 18.47531565
[030500/100000]	Cells: 285  Coverage: 0.10871887%		Max Fitness: 0.07801794	Mean Fitness: 0.06576027	Min Fitness: 0.05767065	QD Score: 18.74167707
[031000/100000]	Cells: 288  Coverage: 0.10986328%		Max Fitness: 0.07801794	Mean Fitness: 0.06573917	Min Fitness: 0.05767065	QD Score: 18.93287970
[031500/100000]	Cells: 292  Coverage: 0.11138916%		Max Fitness: 0.07801794	Mean Fitness: 0.06571126	Min Fitness: 0.05684415	QD Score: 19.18768658
[032000/100000]	Cells: 297  Coverage: 0.11329651%		Max Fitness: 0.07801794	Mean Fitness: 0.06566596	Min Fitness: 0.05684415	QD Score: 19.50279139
[032500/100000]	Cells: 300  Coverage: 0.11444092%		Max Fitness: 0.07801794	Mean Fitness: 0.06564136	Min Fitness: 0.05684415	QD Score: 19.69240702
[033000/100000]	Cells: 303  Coverage: 0.11558533%		Max Fitness: 0.07801794	Mean Fitness: 0.06568257	Min Fitness: 0.05684415	QD Score: 19.90181776
[033500/100000]	Cells: 307  Coverage: 0.11711121%		Max Fitness: 0.07801794	Mean Fitness: 0.06572439	Min Fitness: 0.05684415	QD Score: 20.17738774
[034000/100000]	Cells: 311  Coverage: 0.11863708%		Max Fitness: 0.07801794	Mean Fitness: 0.06571028	Min Fitness: 0.05684415	QD Score: 20.43589635
[034500/100000]	Cells: 316  Coverage: 0.12054443%		Max Fitness: 0.07801794	Mean Fitness: 0.06569948	Min Fitness: 0.05684415	QD Score: 20.76103683
[035000/100000]	Cells: 319  Coverage: 0.12168884%		Max Fitness: 0.07801794	Mean Fitness: 0.06569631	Min Fitness: 0.05684415	QD Score: 20.95712386
[035500/100000]	Cells: 322  Coverage: 0.12283325%		Max Fitness: 0.07801794	Mean Fitness: 0.06577007	Min Fitness: 0.05684415	QD Score: 21.17796216
[036000/100000]	Cells: 323  Coverage: 0.12321472%		Max Fitness: 0.07801794	Mean Fitness: 0.06577396	Min Fitness: 0.05684415	QD Score: 21.24499004
[036500/100000]	Cells: 326  Coverage: 0.12435913%		Max Fitness: 0.07801794	Mean Fitness: 0.06575988	Min Fitness: 0.05684415	QD Score: 21.43772200
[037000/100000]	Cells: 329  Coverage: 0.12550354%		Max Fitness: 0.07801794	Mean Fitness: 0.06576734	Min Fitness: 0.05684415	QD Score: 21.63745549
[037500/100000]	Cells: 331  Coverage: 0.12626648%		Max Fitness: 0.07801794	Mean Fitness: 0.06578009	Min Fitness: 0.05684415	QD Score: 21.77321144
[038000/100000]	Cells: 333  Coverage: 0.12702942%		Max Fitness: 0.07801794	Mean Fitness: 0.06578815	Min Fitness: 0.05684415	QD Score: 21.90745373
[038500/100000]	Cells: 338  Coverage: 0.12893677%		Max Fitness: 0.07801794	Mean Fitness: 0.06577901	Min Fitness: 0.05684415	QD Score: 22.23330691
[039000/100000]	Cells: 342  Coverage: 0.13046265%		Max Fitness: 0.07801794	Mean Fitness: 0.06573910	Min Fitness: 0.05684415	QD Score: 22.48277310
[039500/100000]	Cells: 342  Coverage: 0.13046265%		Max Fitness: 0.07801794	Mean Fitness: 0.06581300	Min Fitness: 0.05684415	QD Score: 22.50804758
[040000/100000]	Cells: 344  Coverage: 0.13122559%		Max Fitness: 0.07801794	Mean Fitness: 0.06579705	Min Fitness: 0.05684415	QD Score: 22.63418678
[040500/100000]	Cells: 348  Coverage: 0.13275146%		Max Fitness: 0.07801794	Mean Fitness: 0.06575790	Min Fitness: 0.05684415	QD Score: 22.88374762
[041000/100000]	Cells: 351  Coverage: 0.13389587%		Max Fitness: 0.07801794	Mean Fitness: 0.06576017	Min Fitness: 0.05684415	QD Score: 23.08181822
[041500/100000]	Cells: 352  Coverage: 0.13427734%		Max Fitness: 0.07801794	Mean Fitness: 0.06577802	Min Fitness: 0.05684415	QD Score: 23.15386306
[042000/100000]	Cells: 354  Coverage: 0.13504028%		Max Fitness: 0.07801794	Mean Fitness: 0.06579513	Min Fitness: 0.05684415	QD Score: 23.29147443
[042500/100000]	Cells: 357  Coverage: 0.13618469%		Max Fitness: 0.07801794	Mean Fitness: 0.06578131	Min Fitness: 0.05684415	QD Score: 23.48392662
