[000500/100000]	Cells: 9  Coverage: 0.00343323%		Max Fitness: 0.06704450	Mean Fitness: 0.06587847	Min Fitness: 0.06472513	QD Score: 0.59290621
[001000/100000]	Cells: 17  Coverage: 0.00648499%		Max Fitness: 0.07556258	Mean Fitness: 0.06669234	Min Fitness: 0.06309936	QD Score: 1.13376973
[001500/100000]	Cells: 24  Coverage: 0.00915527%		Max Fitness: 0.07556258	Mean Fitness: 0.06635910	Min Fitness: 0.06205419	QD Score: 1.59261836
[002000/100000]	Cells: 30  Coverage: 0.01144409%		Max Fitness: 0.07606805	Mean Fitness: 0.06649265	Min Fitness: 0.06205419	QD Score: 1.99477951
[002500/100000]	Cells: 37  Coverage: 0.01411438%		Max Fitness: 0.07606805	Mean Fitness: 0.06640613	Min Fitness: 0.06205419	QD Score: 2.45702682
[003000/100000]	Cells: 48  Coverage: 0.01831055%		Max Fitness: 0.07606805	Mean Fitness: 0.06585095	Min Fitness: 0.06083161	QD Score: 3.16084583
[003500/100000]	Cells: 54  Coverage: 0.02059937%		Max Fitness: 0.07606805	Mean Fitness: 0.06584674	Min Fitness: 0.06083161	QD Score: 3.55572378
[004000/100000]	Cells: 58  Coverage: 0.02212524%		Max Fitness: 0.07606805	Mean Fitness: 0.06571579	Min Fitness: 0.06083161	QD Score: 3.81151576
[004500/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.07606805	Mean Fitness: 0.06589531	Min Fitness: 0.06083161	QD Score: 4.15140435
[005000/100000]	Cells: 68  Coverage: 0.02593994%		Max Fitness: 0.07606805	Mean Fitness: 0.06605164	Min Fitness: 0.06083161	QD Score: 4.49151170
[005500/100000]	Cells: 76  Coverage: 0.02899170%		Max Fitness: 0.07606805	Mean Fitness: 0.06573667	Min Fitness: 0.05810347	QD Score: 4.99598669
[006000/100000]	Cells: 82  Coverage: 0.03128052%		Max Fitness: 0.07606805	Mean Fitness: 0.06597345	Min Fitness: 0.05810347	QD Score: 5.40982260
[006500/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.07606805	Mean Fitness: 0.06582954	Min Fitness: 0.05810347	QD Score: 5.66134083
[007000/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07606805	Mean Fitness: 0.06592496	Min Fitness: 0.05810347	QD Score: 6.26287117
[007500/100000]	Cells: 106  Coverage: 0.04043579%		Max Fitness: 0.07606805	Mean Fitness: 0.06586477	Min Fitness: 0.05810347	QD Score: 6.98166579
[008000/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.07606805	Mean Fitness: 0.06600961	Min Fitness: 0.05810347	QD Score: 7.26105704
[008500/100000]	Cells: 117  Coverage: 0.04463196%		Max Fitness: 0.07606805	Mean Fitness: 0.06628319	Min Fitness: 0.05810347	QD Score: 7.75513354
[009000/100000]	Cells: 121  Coverage: 0.04615784%		Max Fitness: 0.07606805	Mean Fitness: 0.06635172	Min Fitness: 0.05810347	QD Score: 8.02855846
[009500/100000]	Cells: 126  Coverage: 0.04806519%		Max Fitness: 0.07606805	Mean Fitness: 0.06638034	Min Fitness: 0.05810347	QD Score: 8.36392302
[010000/100000]	Cells: 132  Coverage: 0.05035400%		Max Fitness: 0.07606805	Mean Fitness: 0.06632124	Min Fitness: 0.05898766	QD Score: 8.75440369
[010500/100000]	Cells: 136  Coverage: 0.05187988%		Max Fitness: 0.07606805	Mean Fitness: 0.06653921	Min Fitness: 0.05898766	QD Score: 9.04933231
[011000/100000]	Cells: 142  Coverage: 0.05416870%		Max Fitness: 0.07606805	Mean Fitness: 0.06644328	Min Fitness: 0.05783120	QD Score: 9.43494607
[011500/100000]	Cells: 145  Coverage: 0.05531311%		Max Fitness: 0.07606805	Mean Fitness: 0.06650447	Min Fitness: 0.05783120	QD Score: 9.64314814
[012000/100000]	Cells: 149  Coverage: 0.05683899%		Max Fitness: 0.07606805	Mean Fitness: 0.06653532	Min Fitness: 0.05783120	QD Score: 9.91376203
