[000500/100000]	Cells: 0  Coverage: 0.00000000%		Max Fitness: -Infinity	Mean Fitness: NaN	Min Fitness: Infinity	QD Score: 0.00000000
[082000/100000]	Cells: 132  Coverage: 0.05035400%		Max Fitness: 0.07114242	Mean Fitness: 0.05905975	Min Fitness: 0.04957281	QD Score: 7.79588711
[082500/100000]	Cells: 135  Coverage: 0.05149841%		Max Fitness: 0.07114242	Mean Fitness: 0.05894887	Min Fitness: 0.04957281	QD Score: 7.95809812
[083000/100000]	Cells: 136  Coverage: 0.05187988%		Max Fitness: 0.07114242	Mean Fitness: 0.05903811	Min Fitness: 0.04994150	QD Score: 8.02918283
[083500/100000]	Cells: 136  Coverage: 0.05187988%		Max Fitness: 0.07114242	Mean Fitness: 0.05903811	Min Fitness: 0.04994150	QD Score: 8.02918283
[084000/100000]	Cells: 136  Coverage: 0.05187988%		Max Fitness: 0.07114242	Mean Fitness: 0.05903811	Min Fitness: 0.04994150	QD Score: 8.02918283
[084500/100000]	Cells: 136  Coverage: 0.05187988%		Max Fitness: 0.07114242	Mean Fitness: 0.05903811	Min Fitness: 0.04994150	QD Score: 8.02918283
[085000/100000]	Cells: 138  Coverage: 0.05264282%		Max Fitness: 0.07114242	Mean Fitness: 0.05897923	Min Fitness: 0.04994150	QD Score: 8.13913320
[085500/100000]	Cells: 142  Coverage: 0.05416870%		Max Fitness: 0.07114242	Mean Fitness: 0.05878943	Min Fitness: 0.04994150	QD Score: 8.34809851
[086000/100000]	Cells: 143  Coverage: 0.05455017%		Max Fitness: 0.07114242	Mean Fitness: 0.05882988	Min Fitness: 0.04994150	QD Score: 8.41267248
[086500/100000]	Cells: 143  Coverage: 0.05455017%		Max Fitness: 0.07114242	Mean Fitness: 0.05890794	Min Fitness: 0.04994150	QD Score: 8.42383491
[087000/100000]	Cells: 144  Coverage: 0.05493164%		Max Fitness: 0.07114242	Mean Fitness: 0.05908105	Min Fitness: 0.04994150	QD Score: 8.50767143
[087500/100000]	Cells: 145  Coverage: 0.05531311%		Max Fitness: 0.07114242	Mean Fitness: 0.05910942	Min Fitness: 0.04994150	QD Score: 8.57086588
[088000/100000]	Cells: 145  Coverage: 0.05531311%		Max Fitness: 0.07114242	Mean Fitness: 0.05910942	Min Fitness: 0.04994150	QD Score: 8.57086588
[088500/100000]	Cells: 146  Coverage: 0.05569458%		Max Fitness: 0.07114242	Mean Fitness: 0.05907366	Min Fitness: 0.04994150	QD Score: 8.62475461
[089000/100000]	Cells: 146  Coverage: 0.05569458%		Max Fitness: 0.07114242	Mean Fitness: 0.05907366	Min Fitness: 0.04994150	QD Score: 8.62475461
[089500/100000]	Cells: 146  Coverage: 0.05569458%		Max Fitness: 0.07114242	Mean Fitness: 0.05911446	Min Fitness: 0.04994150	QD Score: 8.63071120
[090000/100000]	Cells: 146  Coverage: 0.05569458%		Max Fitness: 0.07114242	Mean Fitness: 0.05913335	Min Fitness: 0.04994150	QD Score: 8.63346950
[090500/100000]	Cells: 147  Coverage: 0.05607605%		Max Fitness: 0.07114242	Mean Fitness: 0.05906825	Min Fitness: 0.04956336	QD Score: 8.68303286
[091000/100000]	Cells: 149  Coverage: 0.05683899%		Max Fitness: 0.07114242	Mean Fitness: 0.05900890	Min Fitness: 0.04956336	QD Score: 8.79232600
[091500/100000]	Cells: 151  Coverage: 0.05760193%		Max Fitness: 0.07114242	Mean Fitness: 0.05899539	Min Fitness: 0.04956336	QD Score: 8.90830335
[092000/100000]	Cells: 152  Coverage: 0.05798340%		Max Fitness: 0.07114242	Mean Fitness: 0.05903128	Min Fitness: 0.04956336	QD Score: 8.97275410
[092500/100000]	Cells: 153  Coverage: 0.05836487%		Max Fitness: 0.07114242	Mean Fitness: 0.05903104	Min Fitness: 0.04956336	QD Score: 9.03174895
[093000/100000]	Cells: 154  Coverage: 0.05874634%		Max Fitness: 0.07114242	Mean Fitness: 0.05905187	Min Fitness: 0.04956336	QD Score: 9.09398872
[093500/100000]	Cells: 155  Coverage: 0.05912781%		Max Fitness: 0.07114242	Mean Fitness: 0.05904914	Min Fitness: 0.04956336	QD Score: 9.15261612
[094000/100000]	Cells: 155  Coverage: 0.05912781%		Max Fitness: 0.07114242	Mean Fitness: 0.05904914	Min Fitness: 0.04956336	QD Score: 9.15261612
[094500/100000]	Cells: 156  Coverage: 0.05950928%		Max Fitness: 0.07114242	Mean Fitness: 0.05904414	Min Fitness: 0.04956336	QD Score: 9.21088601
[095000/100000]	Cells: 156  Coverage: 0.05950928%		Max Fitness: 0.07114242	Mean Fitness: 0.05904414	Min Fitness: 0.04956336	QD Score: 9.21088601
[095500/100000]	Cells: 157  Coverage: 0.05989075%		Max Fitness: 0.07114242	Mean Fitness: 0.05903889	Min Fitness: 0.04956336	QD Score: 9.26910628
[096000/100000]	Cells: 157  Coverage: 0.05989075%		Max Fitness: 0.07114242	Mean Fitness: 0.05903889	Min Fitness: 0.04956336	QD Score: 9.26910628
[096500/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07114242	Mean Fitness: 0.05899764	Min Fitness: 0.04956336	QD Score: 9.32162687
[097000/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07114242	Mean Fitness: 0.05899764	Min Fitness: 0.04956336	QD Score: 9.32162687
[097500/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07114242	Mean Fitness: 0.05904417	Min Fitness: 0.04956336	QD Score: 9.32897812
[098000/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07114242	Mean Fitness: 0.05912271	Min Fitness: 0.04956336	QD Score: 9.34138741
[098500/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07114242	Mean Fitness: 0.05914608	Min Fitness: 0.04956336	QD Score: 9.34508025
[099000/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07114242	Mean Fitness: 0.05915564	Min Fitness: 0.04956336	QD Score: 9.34659049
[099500/100000]	Cells: 161  Coverage: 0.06141663%		Max Fitness: 0.07114242	Mean Fitness: 0.05917715	Min Fitness: 0.04956336	QD Score: 9.52752167
[100000/100000]	Cells: 162  Coverage: 0.06179810%		Max Fitness: 0.07114242	Mean Fitness: 0.05912559	Min Fitness: 0.04956336	QD Score: 9.57834563
