[000500/100000]	Cells: 9  Coverage: 0.00343323%		Max Fitness: 0.06693231	Mean Fitness: 0.06572296	Min Fitness: 0.06447490	QD Score: 0.59150662
[001000/100000]	Cells: 22  Coverage: 0.00839233%		Max Fitness: 0.07465065	Mean Fitness: 0.06655710	Min Fitness: 0.06402386	QD Score: 1.46425610
[001500/100000]	Cells: 34  Coverage: 0.01296997%		Max Fitness: 0.07709526	Mean Fitness: 0.06663032	Min Fitness: 0.06250123	QD Score: 2.26543072
[002000/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.07709526	Mean Fitness: 0.06649843	Min Fitness: 0.06101905	QD Score: 2.92593081
[002500/100000]	Cells: 53  Coverage: 0.02021790%		Max Fitness: 0.07709526	Mean Fitness: 0.06625067	Min Fitness: 0.05998303	QD Score: 3.51128549
[003000/100000]	Cells: 68  Coverage: 0.02593994%		Max Fitness: 0.07709526	Mean Fitness: 0.06634460	Min Fitness: 0.05998303	QD Score: 4.51143299
[003500/100000]	Cells: 77  Coverage: 0.02937317%		Max Fitness: 0.07709526	Mean Fitness: 0.06647831	Min Fitness: 0.05974239	QD Score: 5.11883015
[004000/100000]	Cells: 84  Coverage: 0.03204346%		Max Fitness: 0.07709526	Mean Fitness: 0.06657614	Min Fitness: 0.05974239	QD Score: 5.59239613
[004500/100000]	Cells: 87  Coverage: 0.03318787%		Max Fitness: 0.07709526	Mean Fitness: 0.06669862	Min Fitness: 0.05974239	QD Score: 5.80277973
[005000/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07709526	Mean Fitness: 0.06679074	Min Fitness: 0.05974239	QD Score: 6.07795730
[005500/100000]	Cells: 101  Coverage: 0.03852844%		Max Fitness: 0.07709526	Mean Fitness: 0.06661505	Min Fitness: 0.05974239	QD Score: 6.72812054
[006000/100000]	Cells: 107  Coverage: 0.04081726%		Max Fitness: 0.07709526	Mean Fitness: 0.06671720	Min Fitness: 0.05974239	QD Score: 7.13874068
[006500/100000]	Cells: 114  Coverage: 0.04348755%		Max Fitness: 0.07709526	Mean Fitness: 0.06667826	Min Fitness: 0.06028845	QD Score: 7.60132125
[007000/100000]	Cells: 118  Coverage: 0.04501343%		Max Fitness: 0.07709526	Mean Fitness: 0.06665628	Min Fitness: 0.06028845	QD Score: 7.86544150
[007500/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.07712146	Mean Fitness: 0.06659175	Min Fitness: 0.06008108	QD Score: 8.32396898
[008000/100000]	Cells: 130  Coverage: 0.04959106%		Max Fitness: 0.07712146	Mean Fitness: 0.06646258	Min Fitness: 0.06008108	QD Score: 8.64013481
[008500/100000]	Cells: 136  Coverage: 0.05187988%		Max Fitness: 0.07712146	Mean Fitness: 0.06646241	Min Fitness: 0.06008108	QD Score: 9.03888737
[009000/100000]	Cells: 140  Coverage: 0.05340576%		Max Fitness: 0.07712146	Mean Fitness: 0.06654303	Min Fitness: 0.06008108	QD Score: 9.31602448
[009500/100000]	Cells: 150  Coverage: 0.05722046%		Max Fitness: 0.07712146	Mean Fitness: 0.06649977	Min Fitness: 0.06008108	QD Score: 9.97496563
[010000/100000]	Cells: 154  Coverage: 0.05874634%		Max Fitness: 0.07712146	Mean Fitness: 0.06656378	Min Fitness: 0.06008108	QD Score: 10.25082208
[010500/100000]	Cells: 156  Coverage: 0.05950928%		Max Fitness: 0.07712146	Mean Fitness: 0.06653301	Min Fitness: 0.06008108	QD Score: 10.37914920
[011000/100000]	Cells: 162  Coverage: 0.06179810%		Max Fitness: 0.07712146	Mean Fitness: 0.06641787	Min Fitness: 0.05701495	QD Score: 10.75969552
[011500/100000]	Cells: 170  Coverage: 0.06484985%		Max Fitness: 0.07712146	Mean Fitness: 0.06644719	Min Fitness: 0.05701495	QD Score: 11.29602156
[012000/100000]	Cells: 171  Coverage: 0.06523132%		Max Fitness: 0.07712146	Mean Fitness: 0.06645048	Min Fitness: 0.05701495	QD Score: 11.36303151
[012500/100000]	Cells: 175  Coverage: 0.06675720%		Max Fitness: 0.07712146	Mean Fitness: 0.06655345	Min Fitness: 0.05701495	QD Score: 11.64685395
[013000/100000]	Cells: 177  Coverage: 0.06752014%		Max Fitness: 0.07712146	Mean Fitness: 0.06658134	Min Fitness: 0.05701495	QD Score: 11.78489759
[013500/100000]	Cells: 178  Coverage: 0.06790161%		Max Fitness: 0.07712146	Mean Fitness: 0.06663659	Min Fitness: 0.05701495	QD Score: 11.86131258
[014000/100000]	Cells: 186  Coverage: 0.07095337%		Max Fitness: 0.07712146	Mean Fitness: 0.06671450	Min Fitness: 0.05701495	QD Score: 12.40889748
[014500/100000]	Cells: 188  Coverage: 0.07171631%		Max Fitness: 0.07712146	Mean Fitness: 0.06678332	Min Fitness: 0.05701495	QD Score: 12.55526450
